2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,UV
05051321-7042216,4.738,16.233,14.864,13.066,11.002,1.369,1.798,4
05015149-7103161,3.809,17.654,16.285,14.785,13.317,1.369,1.5,4
05250467-7207284,3.623,17.964,16.595,15.096,13.824,1.369,1.499,0
05300445-6902397,4.625,16.533,15.164,13.476,99.999,1.369,1.688,4
05370589-6833127,3.702,17.839,16.469,15.002,13.622,1.37,1.467,4
04572849-6914387,3.741,17.545,16.175,14.733,13.431,1.37,1.442,0
05281410-6707332,3.682,17.756,16.386,14.993,13.627,1.37,1.393,0
05231800-6833556,3.621,17.791,16.421,15.021,13.781,1.37,1.4,0
05062097-6827268,3.624,17.941,16.57,15.04,13.806,1.371,1.53,0
05033839-6903538,3.73,17.426,16.054,14.644,13.591,1.372,1.41,4
05173424-7053025,3.703,17.783,16.411,14.99,13.595,1.372,1.421,0
05224150-6632028,3.663,18.013,16.641,15.189,13.745,1.372,1.452,0
05392075-6704344,3.655,17.836,16.463,15.059,13.68,1.373,1.404,4
05493048-7007343,4.87,15.988,14.615,12.484,10.84,1.373,2.131,3
04541943-6706065,3.806,17.712,16.339,14.861,13.283,1.373,1.478,1
04594355-6806205,3.764,17.85,16.477,14.85,13.316,1.373,1.627,0
05141448-6857381,3.687,17.651,16.277,14.901,13.481,1.374,1.376,0
04544709-7045290,3.939,17.283,15.909,14.362,12.968,1.374,1.547,0
05511507-7018286,3.845,17.671,16.295,14.807,13.251,1.376,1.488,4
05464666-6741245,4.069,17.287,15.911,14.332,12.921,1.376,1.579,4
05340853-6702384,4.938,16.459,15.081,13.501,12.445,1.378,1.58,0
05355355-6855450,3.863,17.806,16.428,14.951,13.273,1.378,1.477,4
05453130-6746193,3.851,17.99,16.612,14.987,13.405,1.378,1.625,4
05172234-6633339,3.69,17.779,16.401,14.993,13.587,1.378,1.408,0
05072101-6824082,3.682,17.849,16.471,14.959,13.623,1.378,1.512,0
05250147-6815140,3.606,18.583,17.205,15.604,13.941,1.378,1.601,4
05374745-6836205,4.693,16.523,15.144,13.286,99.999,1.379,1.858,3
05321801-6703043,4.468,16.373,14.994,13.406,10.04,1.379,1.588,4
05253584-6954263,3.845,18.039,16.66,15.25,13.274,1.379,1.41,4
05223627-6642068,3.802,17.631,16.25,14.813,13.356,1.381,1.437,4
05522915-6945351,3.731,17.602,16.221,14.836,13.468,1.381,1.385,0
05222887-6748422,3.811,17.604,16.222,14.72,13.304,1.382,1.502,0
05421740-6827260,4.442,16.529,15.147,13.331,99.999,1.382,1.816,1
05045136-6641337,3.905,17.274,15.892,14.403,12.997,1.382,1.489,4
05425675-6822006,3.913,17.526,16.144,14.595,13.087,1.382,1.549,4
05045944-6841260,3.791,17.764,16.381,14.9,13.416,1.383,1.481,4
04555437-6807091,4.073,17.252,15.867,14.171,12.571,1.385,1.696,0
04535921-6820370,3.811,17.915,16.53,14.85,13.365,1.385,1.68,4
05321015-6606312,4.414,16.962,15.577,13.852,10.033,1.385,1.725,4
05041751-6626391,3.857,17.261,15.874,14.516,13.076,1.387,1.358,2
05104217-6916033,3.711,18.026,16.639,14.908,13.426,1.387,1.731,0
05222985-6519147,3.626,19.208,17.82,16.266,13.809,1.388,1.554,4
05343378-6915023,4.905,16.433,15.044,13.156,99.999,1.389,1.888,4
05313311-6706213,4.435,16.533,15.144,13.556,10.327,1.389,1.588,4
05553099-6832573,3.658,17.804,16.414,15.067,13.704,1.39,1.347,0
05473053-6727456,3.705,17.753,16.363,14.913,13.608,1.39,1.45,4
05000791-6653093,3.554,18.284,16.894,15.355,13.893,1.39,1.539,4
05435631-6728364,3.673,18.018,16.627,15.078,13.691,1.391,1.549,4
05182622-6650038,3.605,18.006,16.615,15.16,13.77,1.391,1.455,0
05301614-6923356,3.559,18.245,16.854,15.323,13.954,1.391,1.531,0
05214195-6739220,3.859,17.615,16.223,14.715,13.188,1.392,1.508,4
05292734-6804591,3.823,17.737,16.345,14.778,13.349,1.392,1.567,4
05220177-6749488,3.611,18.069,16.677,15.199,13.807,1.392,1.478,4
04582226-6644437,3.884,17.379,15.987,14.493,13.081,1.392,1.494,4
05294031-6851307,4.464,16.66,15.267,13.725,99.999,1.393,1.542,4
04540720-6707189,3.956,17.42,16.026,14.493,12.947,1.394,1.533,4
05251097-7205504,3.55,18.309,16.915,15.406,13.992,1.394,1.509,0
05022495-6603488,3.878,17.453,16.058,14.623,12.968,1.395,1.435,3
05242782-6653324,3.685,18.004,16.609,15.224,13.67,1.395,1.385,0
05265026-7107366,3.96,20.348,18.953,17.168,13.721,1.395,1.785,4
05132466-6655226,3.732,17.967,16.571,15.045,13.509,1.396,1.526,4
05151585-6859580,3.619,17.911,16.515,15.184,13.739,1.396,1.331,4
05221581-6945106,3.653,18.41,17.014,15.424,14.282,1.396,1.59,4
05294069-6944564,4.027,17.364,15.967,14.372,12.728,1.397,1.595,4
05064819-6640079,4.013,17.359,15.962,14.319,12.615,1.397,1.643,0
05211371-6544330,3.751,17.795,16.398,14.941,13.511,1.397,1.457,0
05345112-7103467,4.451,16.266,14.868,13.268,11.748,1.398,1.6,3
05364451-6832057,3.628,17.656,16.258,14.972,13.678,1.398,1.286,4
05045839-7037384,4.634,16.543,15.144,13.346,11.412,1.399,1.798,4
05244532-6803324,3.791,17.773,16.373,14.855,13.397,1.4,1.518,0
05010396-6904467,3.695,17.63,16.23,14.703,13.568,1.4,1.527,2
05081680-7027070,3.584,18.037,16.637,15.281,16.523,1.4,1.356,4
05445200-6729216,4.381,16.773,15.373,13.699,11.92,1.4,1.674,4
05262534-6653093,3.764,17.5,16.099,14.721,13.432,1.401,1.378,4
05322682-6618593,3.634,18.163,16.762,15.318,13.888,1.401,1.444,4
05405919-6918361,5.171,16.925,15.524,13.296,10.824,1.401,2.228,4
05114935-6915223,3.752,17.829,16.427,14.826,13.435,1.402,1.601,0
05041841-6856030,3.712,18.017,16.615,15.183,13.671,1.402,1.432,0
05072076-6833550,3.598,18.294,16.892,15.364,13.943,1.402,1.528,0
05253626-6902166,4.058,17.322,15.919,14.353,11.911,1.403,1.566,4
05305360-6942286,3.819,17.494,16.091,14.615,13.439,1.403,1.476,4
04530211-6937450,3.674,17.7,16.297,14.888,13.625,1.403,1.409,4
05410107-6728026,4.004,17.129,15.726,14.289,12.21,1.403,1.437,0
04590380-7038111,3.752,17.521,16.118,14.755,13.386,1.403,1.363,4
05155469-6803182,3.832,17.566,16.16,14.592,13.209,1.406,1.568,0
05350719-6723241,3.62,17.983,16.577,15.241,13.835,1.406,1.336,4
04583997-6658588,3.737,17.627,16.22,14.81,13.43,1.407,1.41,4
05315208-6742113,3.659,18.003,16.596,15.191,13.753,1.407,1.405,4
05051586-6701379,4.104,17.086,15.678,14.062,12.532,1.408,1.616,4
04560955-6634343,3.729,17.915,16.507,15.048,13.558,1.408,1.459,4
05060948-6629259,3.852,17.436,16.028,14.526,13.091,1.408,1.502,0
05152660-6859176,3.877,17.633,16.224,14.715,13.104,1.409,1.509,0
05233821-6837186,4.627,16.79,15.381,13.538,99.999,1.409,1.843,4
05233267-6750461,3.716,17.833,16.423,14.986,13.569,1.41,1.437,4
04580411-6705200,3.694,17.713,16.302,14.9,13.55,1.411,1.402,0
05045305-6920451,3.704,17.678,16.267,14.705,13.776,1.411,1.562,4
05351840-6916306,4.367,17.03,15.618,13.773,12.014,1.412,1.845,4
05481956-7039167,3.898,17.696,16.284,14.572,13.187,1.412,1.712,3
05262464-6901189,3.851,17.71,16.298,14.861,13.455,1.412,1.437,0
05435709-6903137,3.865,18.012,16.599,15.038,13.286,1.413,1.561,4
05362436-7031065,3.601,18.23,16.817,15.248,13.876,1.413,1.569,4
05033289-6603251,4.316,16.962,15.548,13.94,99.999,1.414,1.608,0
05405378-6812564,3.917,17.687,16.273,14.707,13.08,1.414,1.566,4
05525566-6929250,3.739,17.804,16.388,14.936,13.412,1.416,1.452,1
05061603-6645184,4.038,17.383,15.967,14.293,12.636,1.416,1.674,4
05311513-6808403,4.311,17.909,16.493,14.69,12.339,1.416,1.803,4
05254564-6855488,3.553,18.386,16.969,15.518,14.076,1.417,1.451,4
05482230-6726200,3.71,17.882,16.465,14.971,13.661,1.417,1.494,4
05340659-6807477,3.65,18.361,16.944,15.443,13.754,1.417,1.501,4
05061057-6631087,3.852,17.527,16.109,14.592,13.093,1.418,1.517,4
05172368-6612420,3.593,17.892,16.474,15.138,13.82,1.418,1.336,4
05092570-6632117,3.582,17.974,16.556,15.204,13.887,1.418,1.352,4
04542324-6619539,3.601,18.77,17.352,15.668,13.963,1.418,1.684,4
04574587-6826063,3.736,18.155,16.737,15.124,13.578,1.418,1.613,4
04565451-6709573,3.679,17.966,16.548,15.049,13.657,1.418,1.499,4
05063577-7034190,4.553,16.613,15.194,13.446,11.606,1.419,1.748,4
05232302-6656594,3.645,17.855,16.436,15.219,13.798,1.419,1.217,0
05452228-6713032,3.62,17.974,16.555,15.198,13.828,1.419,1.357,4
05281265-6634517,4.181,17.094,15.674,14.161,12.392,1.42,1.513,0
05343447-6914098,3.672,18.27,16.849,15.178,13.752,1.421,1.671,4
05530279-6816031,3.628,18.067,16.646,15.179,13.797,1.421,1.467,4
05245997-6557260,3.776,17.888,16.467,14.978,13.479,1.421,1.489,4
05043832-6620558,4.256,17.049,15.627,14.009,12.242,1.422,1.618,4
05255718-6611090,3.889,17.61,16.188,14.755,12.842,1.422,1.433,4
05304703-7146325,3.764,17.883,16.461,14.843,13.388,1.422,1.618,4
04484941-6907383,3.772,17.784,16.362,14.893,13.44,1.422,1.469,4
05465083-6706264,3.688,17.878,16.456,15.002,13.631,1.422,1.454,4
05401100-6826334,3.588,18.052,16.63,15.2,13.792,1.422,1.43,4
05301808-6729563,3.998,17.583,16.16,14.568,12.337,1.423,1.592,4
05153631-6925541,4.13,16.864,15.441,14.076,12.795,1.423,1.365,4
05455532-6926262,3.577,18.448,17.025,15.504,13.948,1.423,1.521,4
05331027-6754168,3.661,17.881,16.458,15.135,99.999,1.423,1.323,4
04583698-6808139,3.78,17.934,16.51,14.873,13.328,1.424,1.637,4
05163512-6712063,3.893,17.725,16.3,14.665,13.052,1.425,1.635,4
05262611-6609006,3.795,17.753,16.328,14.828,13.165,1.425,1.5,4
05373247-6839144,3.731,18.072,16.647,15.025,13.592,1.425,1.622,4
05323582-6709111,3.622,17.994,16.569,15.112,13.847,1.425,1.457,4
05143213-7115505,3.597,19.829,18.404,16.608,14.306,1.425,1.796,0
05490295-6948514,3.568,18.421,16.995,15.489,14.209,1.426,1.506,4
04584406-7100376,3.661,17.98,16.554,15.081,13.637,1.426,1.473,0
04542220-6746595,3.959,17.622,16.195,14.526,12.92,1.427,1.669,0
04543004-6827347,3.771,17.97,16.543,15.024,13.467,1.427,1.519,4
05360203-6740578,3.609,18.048,16.62,15.217,13.845,1.428,1.403,4
04554673-6715118,4.043,17.384,15.956,14.386,12.76,1.428,1.57,2
05074612-6714128,3.858,17.872,16.444,14.835,13.205,1.428,1.609,4
05225289-6931198,3.665,17.617,16.189,15.075,13.571,1.428,1.114,4
05140273-7042439,3.623,18.292,16.864,15.29,13.81,1.428,1.574,3
05235609-6551115,3.783,17.74,16.311,14.771,13.268,1.429,1.54,4
05453786-6713536,3.66,17.866,16.437,15.051,13.702,1.429,1.386,4
05213317-6640329,3.651,18.303,16.873,15.276,13.767,1.43,1.597,0
04560011-6716419,3.938,17.639,16.208,14.607,13.034,1.431,1.601,4
05250028-6911265,3.713,17.729,16.298,14.841,13.527,1.431,1.457,4
04543855-6659156,3.846,17.548,16.116,14.729,13.205,1.432,1.387,4
05230948-6952464,4.171,17.419,15.987,14.494,12.518,1.432,1.493,0
04572053-6948140,4.061,17.146,15.714,14.215,12.692,1.432,1.499,4
05394346-7027543,3.564,18.358,16.926,15.436,14.104,1.432,1.49,4
04562836-6741484,3.855,16.702,15.269,14.202,12.919,1.433,1.067,1
04582836-7143507,3.58,18.784,17.35,15.92,13.738,1.434,1.43,4
05164770-6804549,3.583,18.464,17.03,15.406,13.891,1.434,1.624,4
05111426-6902307,4.321,17.292,15.858,14.149,11.999,1.434,1.709,0
04562629-6933515,4.023,17.844,16.41,14.725,99.999,1.434,1.685,2
05020366-6657437,3.598,18.111,16.676,15.259,13.836,1.435,1.417,0
04501895-6929572,3.573,18.547,17.112,15.613,14.094,1.435,1.499,3
05171924-6754019,4.012,17.397,15.961,14.383,12.802,1.436,1.578,0
05314450-7137258,4.019,17.435,15.999,14.412,12.844,1.436,1.587,4
04441353-7001228,3.561,18.431,16.995,15.446,13.968,1.436,1.549,0
04562313-6629011,3.83,17.685,16.248,14.73,13.279,1.437,1.518,0
05475295-6959434,3.72,18.052,16.615,15.099,13.582,1.437,1.516,4
05503441-6709093,3.638,17.956,16.518,15.526,13.7,1.438,0.992,4
05032456-6623028,4.241,17.096,15.658,14.008,12.038,1.438,1.65,2
04571743-6555226,3.772,17.841,16.403,14.874,13.403,1.438,1.529,4
04452608-6933178,3.785,17.841,16.403,14.973,99.999,1.438,1.43,4
05031529-7017417,4.792,16.553,15.114,13.306,10.623,1.439,1.808,4
05303455-6648067,4.052,17.842,16.403,14.487,12.62,1.439,1.916,4
05233567-6746324,3.73,17.772,16.333,14.85,13.513,1.439,1.483,4
05292084-6753262,3.612,18.407,16.968,15.347,13.895,1.439,1.621,4
05063185-6747011,4,17.506,16.066,14.358,12.891,1.44,1.708,0
05061626-6722549,3.609,18.129,16.689,15.113,13.741,1.44,1.576,4
05330138-6846500,4.306,17.061,15.62,13.879,10.624,1.441,1.741,4
05413929-6855096,3.911,17.494,16.052,14.589,13.019,1.442,1.463,4
04592792-6814398,3.82,18.034,16.592,15.044,13.183,1.442,1.548,0
04520936-6801578,3.994,17.575,16.132,14.514,12.835,1.443,1.618,4
05070822-6817115,4.131,16.985,15.542,14.014,99.999,1.443,1.528,4
05270923-6713068,4.044,17.534,16.09,14.403,11.84,1.444,1.687,4
05274535-6600466,3.835,17.506,16.062,14.668,13.024,1.444,1.394,2
05265811-6827104,3.79,17.807,16.363,14.861,13.327,1.444,1.502,4
04562753-6636055,4.019,17.673,16.228,14.51,12.411,1.445,1.718,4
05055483-6631083,3.916,17.417,15.971,14.498,12.97,1.446,1.473,0
05182569-6924456,4.104,17.599,16.153,14.532,99.999,1.446,1.621,0
04551402-6702349,4.053,17.203,15.756,14.227,12.682,1.447,1.529,0
04535071-6645053,3.618,18.061,16.614,15.154,13.766,1.447,1.46,4
05363497-6950331,3.671,18.064,16.617,15.186,13.771,1.447,1.431,4
05502003-6706539,3.871,17.413,15.965,14.551,13.144,1.448,1.414,0
05071090-6927339,3.651,18.168,16.72,15.179,13.717,1.448,1.541,0
05303249-6711429,4.528,16.723,15.274,13.556,9.706,1.449,1.718,4
05251423-6635521,3.694,18.022,16.572,15.131,13.706,1.45,1.441,4
05152608-6931448,3.606,18.004,16.554,15.132,13.642,1.45,1.422,0
04592402-6925095,3.667,17.923,16.472,14.969,13.607,1.451,1.503,4
05282490-6621386,3.918,17.244,15.793,14.392,13.002,1.451,1.401,4
05075085-6932295,3.849,17.959,16.508,14.848,13.247,1.451,1.66,0
05254511-6615530,3.842,17.771,16.32,14.847,13.713,1.451,1.473,1
05325838-6747325,3.703,17.992,16.541,15.142,13.772,1.451,1.399,4
04563940-6717550,3.775,17.741,16.289,14.827,13.398,1.452,1.462,4
05264711-6555386,4.135,17.14,15.688,14.163,11.818,1.452,1.525,3
05344291-6646388,4.01,17.34,15.888,14.336,12.3,1.452,1.552,4
05251480-7006052,3.813,17.701,16.249,14.84,13.526,1.452,1.409,0
05010244-6802399,4.176,17.173,15.719,14.014,12.396,1.454,1.705,4
05421599-6957402,4.309,16.762,15.308,13.69,12.046,1.454,1.618,4
05395270-6623407,3.652,17.736,16.282,14.926,13.645,1.454,1.356,4
04434250-6758042,4.661,17.641,16.186,14.152,11.543,1.455,2.034,4
05503350-6734457,4.378,16.618,15.163,13.559,12.006,1.455,1.604,3
05055346-6623455,4.081,17.122,15.666,14.215,12.479,1.456,1.451,0
04404852-6822211,3.881,17.589,16.133,14.582,13.132,1.456,1.551,0
05000524-7029112,3.646,17.785,16.329,14.976,13.671,1.456,1.353,4
04522749-6916384,3.64,18.082,16.626,15.267,17.892,1.456,1.359,4
05191015-6857438,3.676,17.763,16.307,14.966,13.638,1.456,1.341,4
05041168-6944499,3.757,18.305,16.847,15.059,13.407,1.458,1.788,4
05281093-6906481,4.262,17.125,15.666,14,10.811,1.459,1.666,0
05040842-6623109,4.501,16.791,15.332,13.685,11.63,1.459,1.647,4
04475162-6943038,4.503,16.813,15.354,13.596,11.802,1.459,1.758,4
05083468-7020017,4.159,17.129,15.67,14.136,12.358,1.459,1.534,0
05051185-6833303,3.681,18.116,16.656,15.021,13.542,1.46,1.635,4
05344009-7003278,3.571,18.498,17.038,15.433,13.984,1.46,1.605,4
05361684-6645198,3.75,17.95,16.489,15.016,13.534,1.461,1.473,4
05483271-7015442,3.541,19.129,17.668,15.884,14.044,1.461,1.784,3
05403881-6848542,3.61,18.224,16.762,15.309,13.826,1.462,1.453,4
05215083-6936301,3.773,17.451,15.988,14.7,13.519,1.463,1.288,4
05292662-6720340,3.701,17.986,16.523,14.994,13.597,1.463,1.529,4
05510216-6708483,3.682,17.864,16.401,14.977,13.65,1.463,1.424,4
05100298-6721034,3.822,17.82,16.356,14.717,13.226,1.464,1.639,0
05280749-6953133,3.756,17.865,16.401,15.115,13.409,1.464,1.286,4
05080858-6553318,3.767,17.8,16.336,14.821,13.391,1.464,1.515,4
05221414-6756092,3.912,17.593,16.128,14.569,13.03,1.465,1.559,2
05435019-6942082,3.792,18.01,16.545,15.005,13.381,1.465,1.54,4
05274176-6929535,3.717,17.719,16.254,14.837,13.54,1.465,1.417,4
05110332-6701105,3.662,18.254,16.789,15.194,13.709,1.465,1.595,0
04505890-6849019,3.618,18.24,16.775,15.258,13.876,1.465,1.517,4
04464044-6711098,4.41,17.231,15.766,13.937,11.964,1.465,1.829,3
05231839-6624549,3.687,17.864,16.398,15.031,13.691,1.466,1.367,4
04562905-7025295,3.762,17.771,16.304,14.763,13.394,1.467,1.541,4
04584474-6639280,3.724,17.876,16.409,14.97,13.481,1.467,1.439,4
04543353-6725284,3.962,17.632,16.164,14.568,12.972,1.468,1.596,4
04514286-7105090,3.841,17.678,16.21,14.611,13.171,1.468,1.599,4
05335279-6809306,3.769,18.154,16.686,15.05,13.409,1.468,1.636,4
05351083-6655191,3.714,17.81,16.342,14.961,13.606,1.468,1.381,4
05205573-6927442,3.891,18.316,16.847,15.208,13.174,1.469,1.639,0
05371594-6753151,3.618,18.238,16.769,15.267,13.794,1.469,1.502,4
05322048-6712365,4.063,17.167,15.697,14.177,12.016,1.47,1.52,4
04552240-6704188,3.828,17.707,16.237,14.728,13.222,1.47,1.509,0
05375831-6701529,3.792,17.734,16.263,14.791,13.459,1.471,1.472,4
05185249-6919163,3.655,18.121,16.649,15.257,13.571,1.472,1.392,4
05021255-6908024,4.084,17.427,15.955,14.26,12.778,1.472,1.695,4
05101734-6922498,3.606,18.227,16.755,15.115,13.75,1.472,1.64,0
04490104-6907258,3.663,18.14,16.668,15.265,13.763,1.472,1.403,4
05020425-6925551,3.605,18.027,16.555,15.078,13.813,1.472,1.477,4
05345012-6618289,3.597,18.023,16.551,15.195,13.893,1.472,1.356,4
05251226-6952155,3.568,18.626,17.154,15.704,13.993,1.472,1.45,0
05242284-6809533,3.648,18.201,16.728,15.226,13.546,1.473,1.502,0
05310703-6636390,3.894,17.443,15.97,14.542,13.143,1.473,1.428,4
05122753-6853199,3.817,17.716,16.243,14.635,13.296,1.473,1.608,4
05414868-6836004,3.811,17.882,16.408,14.855,13.392,1.474,1.553,4
04580653-7056499,3.561,18.259,16.785,15.279,13.922,1.474,1.506,4
05350230-6957253,3.588,18.089,16.614,15.219,13.823,1.475,1.395,4
04573835-7138067,4.084,17.328,15.853,14.274,12.664,1.475,1.579,3
05285770-6623294,3.731,17.809,16.334,14.914,13.47,1.475,1.42,0
05021321-6619353,3.875,17.542,16.066,14.633,13.112,1.476,1.433,4
05170627-6627528,4.069,17.933,16.456,14.799,12.855,1.477,1.657,0
05410021-6857294,3.922,17.745,16.268,14.716,13.076,1.477,1.552,4
05260319-7021064,3.657,17.878,16.401,14.923,13.625,1.477,1.478,0
05111656-7059510,3.576,18.271,16.794,15.269,13.908,1.477,1.525,0
05335985-6621288,3.84,17.456,15.978,14.654,13.282,1.478,1.324,4
05353691-7106320,3.81,17.649,16.171,14.667,13.301,1.478,1.504,3
04563181-7029534,3.759,17.733,16.255,14.883,13.351,1.478,1.372,4
04490219-6741032,3.652,17.975,16.497,15.095,13.651,1.478,1.402,4
05281768-6749060,4.518,16.813,15.334,13.576,11.617,1.479,1.758,4
05065500-6649212,4.447,17.479,16,13.976,11.942,1.479,2.024,4
05202729-6954597,4.265,17.177,15.698,13.937,12.237,1.479,1.761,0
05240655-6841355,3.895,17.747,16.268,14.596,13.124,1.479,1.672,0
05511437-6854493,3.704,17.767,16.288,14.927,13.536,1.479,1.361,4
05490315-6727531,3.656,18.052,16.573,15.095,13.834,1.479,1.478,2
05253727-6852594,3.87,17.52,16.04,14.638,13.103,1.48,1.402,4
05313528-6625478,3.874,17.559,16.079,14.675,13.241,1.48,1.404,4
05160894-6928265,3.817,17.651,16.171,14.844,13.283,1.48,1.327,0
05341850-6746205,3.613,18.169,16.689,15.206,13.767,1.48,1.483,4
05191957-6813051,4.098,17.31,15.829,14.066,12.556,1.481,1.763,0
05290919-6613491,3.759,17.77,16.289,14.891,13.281,1.481,1.398,4
05113874-7148044,3.591,18.709,17.228,15.47,13.846,1.481,1.758,0
05405267-6739374,3.773,17.78,16.299,14.862,13.48,1.481,1.437,4
05370408-6736160,3.858,17.753,16.272,14.63,13.607,1.481,1.642,4
05314436-6639065,3.654,17.875,16.394,15.02,13.725,1.481,1.374,4
05094357-6825548,3.588,18.157,16.676,15.169,13.803,1.481,1.507,0
05321685-6615389,3.956,17.435,15.952,14.514,12.562,1.483,1.438,4
05340651-6749143,3.834,17.738,16.255,14.718,13.254,1.483,1.537,4
05480792-6710364,3.661,18.012,16.529,14.994,13.722,1.483,1.535,4
05212470-6935466,3.776,17.656,16.173,14.695,14.618,1.483,1.478,4
05480608-6756209,4.119,18.093,16.609,14.715,12.696,1.484,1.894,4
05120255-6802317,3.881,17.787,16.303,14.648,13.141,1.484,1.655,0
05223865-7145315,3.781,17.926,16.442,14.829,13.213,1.484,1.613,4
05322103-6730401,3.599,18.252,16.768,15.256,13.832,1.484,1.512,2
05215983-6955536,3.522,19.31,17.826,16.261,13.954,1.484,1.565,4
05011984-7009454,4.406,16.919,15.435,13.702,11.863,1.484,1.733,4
04553827-6708187,3.964,17.44,15.956,14.392,12.922,1.484,1.564,4
04562488-6724290,3.717,18.018,16.534,14.976,13.512,1.484,1.558,4
05040743-6626429,4.45,16.679,15.194,13.488,11.611,1.485,1.706,4
05484257-6800038,4.295,16.895,15.41,13.805,12.166,1.485,1.605,4
04525955-6901082,3.988,17.488,16.003,14.39,13.477,1.485,1.613,4
05310290-6921578,3.641,17.986,16.501,15.021,13.672,1.485,1.48,4
05250094-7032274,3.634,18.117,16.632,15.14,13.757,1.485,1.492,0
05431407-6735198,4.175,17.355,15.87,14.152,12.517,1.485,1.718,4
05230900-6641352,3.692,18.033,16.548,15.106,13.655,1.485,1.442,4
05454042-7004447,3.74,17.865,16.379,14.882,13.531,1.486,1.497,4
04563606-6757445,3.945,17.461,15.975,14.463,12.956,1.486,1.512,3
05283260-6735354,4.048,17.286,15.8,14.179,12.201,1.486,1.621,0
05303034-6554282,4.015,17.404,15.918,14.334,12.499,1.486,1.584,3
05223439-6750591,4.27,16.903,15.416,13.746,11.885,1.487,1.67,4
05133686-6528538,3.572,18.426,16.939,15.358,13.92,1.487,1.581,2
05404309-6841324,3.738,18.114,16.627,15.042,13.516,1.487,1.585,4
04545013-6639350,4.075,17.502,16.014,14.373,12.732,1.488,1.641,4
05053222-6904466,3.69,18.103,16.615,15.226,13.856,1.488,1.389,4
04453647-6922496,3.674,18.269,16.78,15.258,13.792,1.489,1.522,4
05331447-6703484,4.927,16.283,14.794,13.006,10.58,1.489,1.788,4
05000814-7016021,3.987,17.274,15.785,14.187,12.719,1.489,1.598,4
05082863-6720418,3.746,18.145,16.656,15.072,13.502,1.489,1.584,4
04550864-6954574,3.63,18.023,16.534,15.119,13.776,1.489,1.415,4
05295474-6904156,4.944,15.893,14.404,12.546,99.999,1.489,1.858,3
04543620-6643122,3.731,17.817,16.327,14.887,13.497,1.49,1.44,0
05450395-6808552,3.763,17.659,16.169,15.267,99.999,1.49,0.902,3
05321780-6627246,4.376,16.803,15.313,13.574,10.338,1.49,1.739,1
05264392-6946589,3.976,17.574,16.084,14.87,12.961,1.49,1.214,0
05153276-6947287,3.677,17.853,16.363,15.031,13.503,1.49,1.332,0
04452290-6920238,3.574,18.425,16.935,15.336,13.944,1.49,1.599,4
05125919-6524567,4.225,17.057,15.566,13.92,12.332,1.491,1.646,3
05424969-6728170,4.074,17.229,15.738,14.151,12.695,1.491,1.587,4
05054638-6642091,3.86,18.27,16.779,15.045,13.18,1.491,1.734,0
05350569-6751293,3.702,17.999,16.508,15.036,13.58,1.491,1.472,4
05442386-6930586,3.616,18.31,16.819,15.247,13.868,1.491,1.572,4
04570081-6655405,4.004,17.478,15.987,14.43,12.782,1.491,1.557,4
04572383-6746192,4.128,17.202,15.71,14.115,12.268,1.492,1.595,4
05124075-6633392,3.955,17.577,16.085,14.555,13.016,1.492,1.53,0
05361849-6742077,3.75,17.893,16.4,14.892,13.483,1.493,1.508,4
05182128-6519155,3.73,17.968,16.474,14.9,13.432,1.494,1.574,0
05234582-6948436,3.621,17.956,16.462,15.159,13.575,1.494,1.303,0
05544904-6945496,3.691,17.905,16.411,14.998,13.629,1.494,1.413,4
05040171-6939498,3.627,18.121,16.627,15.23,13.673,1.494,1.397,0
04553685-6855306,3.626,18.06,16.566,15.08,13.714,1.494,1.486,4
05215922-6843247,3.652,18.118,16.624,15.122,13.739,1.494,1.502,4
05464588-6732486,3.83,17.639,16.144,14.644,13.317,1.495,1.5,4
05304681-6716572,4.413,16.591,15.095,13.423,9.51,1.496,1.672,1
04562323-6927489,3.749,17.707,16.211,14.628,13.123,1.496,1.583,4
05234771-6702508,3.699,17.928,16.432,14.995,13.589,1.496,1.437,4
05123170-6615066,3.689,17.951,16.455,15.025,13.643,1.496,1.43,0
05315015-7135397,3.736,18.811,17.314,15.531,13.542,1.497,1.783,4
04502556-6959497,3.729,18.033,16.536,15.063,13.588,1.497,1.473,4
05234419-6843090,3.83,17.92,16.423,14.832,13.281,1.497,1.591,4
05311627-6756357,3.876,17.926,16.428,14.8,13.252,1.498,1.628,4
04554012-6800198,3.662,17.92,16.422,14.971,13.767,1.498,1.451,4
05333817-6852085,3.95,17.426,15.927,14.477,12.92,1.499,1.45,4
05250981-6904501,3.818,17.98,16.481,14.933,13.246,1.499,1.548,0
04574331-7008503,5.325,16.843,15.344,13.5,99.999,1.499,1.844,4
04535352-6700363,3.895,17.675,16.176,14.658,13.118,1.499,1.518,4
04565524-6827330,3.544,18.812,17.313,15.553,13.935,1.499,1.76,4
04570743-6707194,3.974,17.559,16.059,14.502,12.956,1.5,1.557,4
05270708-7147317,3.889,17.605,16.105,14.542,13.082,1.5,1.563,4
04431601-6947009,3.85,18.046,16.546,15.006,13.376,1.5,1.54,0
05323257-7142472,3.706,17.542,16.042,14.667,13.406,1.5,1.375,4
04512615-7010382,3.727,18.12,16.62,14.95,13.535,1.5,1.67,4
04483820-7010553,3.773,18.583,17.083,15.409,13.632,1.5,1.674,4
