2MASS,logL,Umag,Bmag,Vmag,Imag,U-B,B-V,Classification,UV
04595456-6811236,4.235,17.472,15.781,14.009,12.25,1.691,1.772,0,4
04481009-6945517,4.351,16.817,15.106,13.576,11.94,1.711,1.53,0,4
04492676-6845059,4.999,17.242,15.521,13.575,10.604,1.721,1.946,0,4
05044043-6751180,4.373,17.83,16.097,14.099,12.055,1.733,1.998,0,4
05353531-6705063,4.365,17.065,15.33,13.703,10.578,1.735,1.627,0,4
05220398-6717101,4.439,17.047,15.305,13.577,11.79,1.742,1.728,0,4
05323813-6654182,4.402,16.951,15.203,13.62,10.504,1.748,1.583,0,4
05215599-6712455,4.929,16.785,15.035,13.108,10.04,1.75,1.927,0,3
05314126-6703516,4.382,17.05,15.292,13.62,99.999,1.758,1.672,0,4
05003601-7019408,4.555,16.913,15.154,13.336,11.376,1.759,1.818,0,4
05304062-6723079,4.673,16.683,14.914,13.076,99.999,1.769,1.838,0,4
05244404-6623168,4.407,16.972,15.195,13.605,10.474,1.777,1.59,0,4
04555927-6953051,4.283,17.265,15.488,13.712,12.225,1.777,1.776,0,4
04481867-6857320,3.929,17.998,16.219,14.663,12.94,1.779,1.556,0,4
05013568-6835358,4.671,17.353,15.564,13.696,11.287,1.789,1.868,0,4
05022553-6908009,4.509,17.594,15.805,13.902,11.71,1.789,1.903,0,4
04565216-7003014,4.382,17.272,15.481,13.745,11.903,1.791,1.736,0,4
05301995-6722165,4.408,17.046,15.255,13.509,99.999,1.791,1.746,0,4
05063691-6816455,4.143,18.159,16.364,14.497,12.68,1.795,1.867,0,4
04515437-6839204,4.308,17.641,15.836,14.034,12.163,1.805,1.802,0,4
04544923-6931302,4.29,17.568,15.761,13.968,12.293,1.807,1.793,0,0
04575230-7014003,4.648,17.063,15.254,13.376,11.237,1.809,1.878,0,4
05321924-6725002,4.743,16.843,15.034,13.216,99.999,1.809,1.818,0,4
05003992-7022582,4.658,17.053,15.244,13.396,99.999,1.809,1.848,0,4
04584111-7011366,4.331,17.077,15.265,13.597,11.593,1.812,1.668,0,4
05244325-6720022,4.233,17.906,16.091,14.347,11.197,1.815,1.744,0,0
05320185-6717499,4.555,17.053,15.234,13.486,9.764,1.819,1.748,0,4
05310024-6700275,4.656,16.734,14.915,13.068,9.691,1.819,1.847,0,4
05311208-6700590,4.75,16.434,14.612,12.814,9.216,1.822,1.798,0,4
04593388-6846242,4.744,16.743,14.914,12.956,10.637,1.829,1.958,0,4
05303293-6633222,4.312,17.961,16.125,14.513,11.553,1.836,1.612,0,4
05384164-6640036,4.67,16.748,14.912,12.991,9.773,1.836,1.921,0,4
05330202-6724143,4.747,16.723,14.884,13.046,11.08,1.839,1.838,0,4
05340987-6657412,4.811,16.507,14.668,12.767,9.411,1.839,1.901,0,4
05410506-6904423,4.991,16.586,14.744,12.796,99.999,1.842,1.948,0,4
05293745-6652519,4.689,17.092,15.25,13.479,99.999,1.842,1.771,0,4
04562085-6930069,4.215,17.746,15.9,14.186,12.432,1.846,1.714,0,0
05294033-6650169,4.7,16.629,14.775,12.986,9.011,1.854,1.789,0,4
04505868-6914027,4.931,16.743,14.884,12.936,10.699,1.859,1.948,0,4
04525131-6959156,4.254,17.867,16.007,14.309,12.358,1.86,1.698,0,4
05292834-6936250,4.387,17.148,15.279,13.644,12.025,1.869,1.635,0,4
05330518-6716017,4.589,17.133,15.264,13.466,99.999,1.869,1.798,0,4
05261582-6622511,4.304,17.885,16.01,14.203,11.607,1.875,1.807,0,0
04591827-7023548,4.171,17.437,15.562,13.924,12.439,1.875,1.638,0,4
05001230-6812143,4.425,17.268,15.392,13.575,11.774,1.876,1.817,0,4
05305666-6927040,4.516,16.993,15.114,13.386,11.649,1.879,1.728,0,0
05290839-6912183,4.917,17.143,15.264,13.326,9.131,1.879,1.938,0,4
05341360-6649004,4.511,17.059,15.176,13.497,9.767,1.883,1.679,0,4
05322795-6650229,4.52,17.017,15.132,13.378,99.999,1.885,1.754,0,4
05295734-6650274,4.72,16.834,14.939,13.271,10.571,1.895,1.668,0,4
05045166-6902283,4.304,17.767,15.871,14.185,13.627,1.896,1.686,0,4
05054793-6829120,4.273,17.763,15.865,14.109,12.248,1.898,1.756,0,4
05284952-6647352,4.536,17.091,15.193,13.429,99.999,1.898,1.764,0,4
05063943-6821307,4.705,17.29,15.386,13.482,10.956,1.904,1.904,0,4
04513099-6914518,4.92,17.405,15.5,13.589,10.909,1.905,1.911,0,4
05225891-6713465,4.34,17.287,15.376,13.734,10.37,1.911,1.642,0,4
04490818-6906324,4.454,17.363,15.446,13.633,11.807,1.917,1.813,0,3
04531457-6932266,4.579,17.805,15.88,14.05,11.755,1.925,1.83,0,4
05283066-6908528,4.232,17.461,15.532,14.005,10.848,1.929,1.527,0,4
04574307-6956136,4.325,17.478,15.545,13.764,12.03,1.933,1.781,0,4
05320882-6711185,4.799,16.953,15.014,13.166,99.999,1.939,1.848,0,4
05315299-6650376,4.971,16.678,14.736,12.468,99.999,1.942,2.268,0,0
05042497-6833113,4.427,17.628,15.684,13.844,11.728,1.944,1.84,0,4
05073072-6847347,4.184,17.956,16.007,14.242,12.612,1.949,1.765,0,0
05384037-6828120,4.693,17.143,15.194,13.286,99.999,1.949,1.908,0,4
05332682-6704133,5.116,16.263,14.314,12.326,99.999,1.949,1.988,0,4
05280139-6620336,4.479,17.301,15.346,13.577,13.841,1.955,1.769,0,4
05352225-6902230,4.712,17.622,15.667,13.856,99.999,1.955,1.811,0,4
05084415-6901596,4.25,17.582,15.615,13.89,12.47,1.967,1.725,0,4
05265899-6651205,4.762,17.196,15.225,13.46,99.999,1.971,1.765,0,3
04543882-6857363,4.407,17.451,15.479,13.745,11.856,1.972,1.734,0,4
05294513-6629132,4.485,17.214,15.241,13.521,99.999,1.973,1.72,0,0
05364751-6910103,4.531,17.721,15.743,13.878,99.999,1.978,1.865,0,4
05074673-6829313,4.528,17.154,15.162,13.367,99.999,1.992,1.795,0,4
05320212-6945479,4.793,17.198,15.204,13.314,11.121,1.994,1.89,0,4
05022269-6846078,4.441,17.47,15.464,13.702,12.087,2.006,1.762,0,4
05274464-6947514,4.425,18.099,16.093,14.435,11.846,2.006,1.658,0,4
04565840-7017449,4.401,17.762,15.755,13.921,11.974,2.007,1.834,0,4
04510536-6958333,4.287,18.001,15.987,14.207,12.138,2.014,1.78,0,4
05295481-6951494,4.364,17.679,15.664,13.961,12.02,2.015,1.703,0,4
04565899-6848074,4.581,17.744,15.725,13.765,11.563,2.019,1.96,0,4
05274083-6619509,4.455,17.382,15.358,13.673,99.999,2.024,1.685,0,4
04525615-7013287,4.451,17.54,15.512,13.739,11.783,2.028,1.773,0,4
05293147-6939172,4.312,18.047,16.019,14.216,12.282,2.028,1.803,0,4
04554634-6957553,4.341,18.148,16.118,14.237,12.161,2.03,1.881,0,4
05394613-6919282,4.807,17.877,15.846,13.864,11.289,2.031,1.982,0,4
05380642-6708534,4.403,17.851,15.816,14.052,10.45,2.035,1.764,0,4
05420475-6910588,4.567,17.871,15.824,13.878,10.063,2.047,1.946,0,4
05032008-6854026,4.606,17.383,15.336,13.651,11.697,2.047,1.685,0,0
05021687-6805241,4.202,18.108,16.048,14.346,12.425,2.06,1.702,0,0
04540818-7006241,4.842,16.923,14.854,12.856,11.365,2.069,1.998,0,4
05323219-6658149,4.92,17.124,15.05,13.872,99.999,2.074,1.178,0,4
05005475-6816290,4.543,17.37,15.286,13.594,11.009,2.084,1.692,0,4
04540879-6832314,4.791,17.023,14.934,12.956,10.782,2.089,1.978,0,0
05370114-6715431,4.794,17.323,15.234,13.326,99.999,2.089,1.908,0,4
04544724-6947166,4.246,18.114,16.01,14.217,12.321,2.104,1.793,0,0
04560217-6945146,4.393,17.826,15.713,13.807,12.09,2.113,1.906,0,4
05314567-6656488,4.726,17.151,15.026,13.102,99.999,2.125,1.924,0,4
05330018-6936311,4.692,17.449,15.322,13.424,11.206,2.127,1.898,0,4
05292596-6658355,4.801,16.811,14.681,13.262,99.999,2.13,1.419,0,4
05244151-6636470,4.853,17.157,15.002,13.162,9.604,2.155,1.84,0,4
04512113-6856516,4.573,18.326,16.171,14.201,11.744,2.155,1.97,0,4
05020436-6833059,4.365,17.954,15.796,13.95,11.688,2.158,1.846,0,4
05330324-6909160,4.455,18.026,15.85,14.155,10.295,2.176,1.695,0,4
05433400-6849157,4.439,17.582,15.396,13.538,10.369,2.186,1.858,0,4
05300459-6847288,4.787,17.093,14.894,12.976,99.999,2.199,1.918,0,4
05070859-6830205,4.311,18.232,16.023,14.146,12.223,2.209,1.877,0,0
05265854-6700474,4.781,17.021,14.802,13.12,9.543,2.219,1.682,0,4
04533038-6944358,4.605,17.307,15.084,13.426,11.394,2.223,1.658,0,4
04500765-7005236,4.403,18.452,16.208,14.453,12.192,2.244,1.755,0,4
05303848-6900529,4.526,17.634,15.377,13.641,10.255,2.257,1.736,0,0
05331611-6707107,4.636,17.593,15.294,13.436,99.999,2.299,1.858,0,4
05302209-6706315,4.823,16.569,14.264,12.816,11.045,2.305,1.448,0,4
05372049-6919386,4.929,16.379,14.064,12.526,10.679,2.315,1.538,0,4
05001220-7002504,4.405,17.882,15.523,13.778,11.665,2.359,1.745,0,4
05390099-6825107,4.662,18.165,15.731,13.947,11.388,2.434,1.784,0,4
05293083-6847587,4.539,17.753,15.314,13.476,99.999,2.439,1.838,0,4
04552165-6947167,5.107,17.668,15.194,13.597,10.414,2.474,1.597,0,0
04502235-6856108,4.459,18.251,15.737,13.871,11.889,2.514,1.866,0,4
04565646-6924053,4.72,17.579,15.064,13.436,11.256,2.515,1.628,0,0
05355030-6736349,4.905,17.873,15.354,13.256,99.999,2.519,2.098,0,4
05304491-6719548,4.693,17.703,15.038,13.513,9.418,2.665,1.525,0,4
05260853-6839142,4.276,18.709,16.01,14.108,11.36,2.699,1.902,0,0
05383452-6934396,4.909,19.032,16.267,14.019,11.072,2.765,2.248,0,0
05293537-6830455,4.8,18.547,15.714,13.689,99.999,2.833,2.025,0,4
05244988-6628464,4.914,19.972,16.866,14.629,99.999,3.106,2.237,0,0
05313082-6953432,4.487,99.999,17.706,13.618,11.778,82.293,4.088,0,4
05371351-6908345,4.971,99.999,16.278,14.211,99.999,83.721,2.067,0,4
05253102-6616566,5.227,99.999,16.206,13.969,8.969,83.793,2.237,0,4
05261135-6612111,5.13,99.999,16.141,13.938,99.999,83.858,2.203,0,0
04534989-6934331,4.367,99.999,15.714,13.898,99.999,84.285,1.816,0,4
05402444-6921169,5.023,15.753,15.164,13.186,10.423,0.589,1.978,0,4
05304198-6905231,4.742,16.413,15.184,13.376,99.999,1.229,1.808,0,4
05290078-6846335,4.876,16.403,14.994,13.106,99.999,1.409,1.888,0,0
05375867-6914239,4.883,17.191,15.414,13.266,10.957,1.777,2.148,0,4
05334455-6724168,4.805,17.203,15.364,13.406,99.999,1.839,1.958,0,4
05332959-6731376,4.719,16.562,14.714,13.216,99.999,1.848,1.498,0,0
05300291-6846038,4.891,16.733,14.804,12.896,9.496,1.929,1.908,0,4
