Umag,Bmag,Vmag,Imag,U-B,B-V,UV
16.23,16.122,14.823,13.447,0.108,1.299,4
15.87,15.761,14.659,13.582,0.109,1.102,3
14.787,14.672,13.081,11.158,0.115,1.591,2
15.079,14.962,13.734,12.199,0.117,1.228,0
15.358,15.239,13.797,12.189,0.119,1.442,2
16.213,16.081,14.846,13.76,0.132,1.235,0
14.733,14.594,13.706,11.794,0.139,0.888,4
19.88,19.735,15.974,14.533,0.145,3.761,4
15.972,15.826,14.582,13.125,0.146,1.244,3
15.597,15.447,14.233,12.553,0.15,1.214,3
16.495,16.344,15.345,13.95,0.151,0.999,1
15.128,14.976,13.513,11.724,0.152,1.463,2
16.052,15.897,14.493,12.906,0.155,1.404,0
15.904,15.746,14.482,12.865,0.158,1.264,3
15.864,15.703,16.447,99.999,0.161,-0.744,2
14.509,14.346,13.875,12.982,0.163,0.471,3
16.533,16.369,15.121,13.465,0.164,1.248,3
15.167,15.002,13.724,99.999,0.165,1.278,2
15.731,15.564,14.199,99.999,0.167,1.365,0
15.006,14.832,13.962,12.818,0.174,0.87,4
15.675,15.495,14.271,12.712,0.18,1.224,1
15.985,15.796,14.421,12.766,0.189,1.375,3
16.339,16.15,14.977,13.806,0.189,1.173,3
16.069,15.875,14.628,13.07,0.194,1.247,3
16.284,16.09,14.841,13.411,0.194,1.249,3
15.208,15.009,13.856,99.999,0.199,1.153,2
15.072,14.872,13.6,99.999,0.2,1.272,1
14.532,14.33,13.675,12.49,0.202,0.655,2
16.49,16.279,15.063,13.854,0.211,1.216,4
15.834,15.622,15.285,12.666,0.212,0.337,0
15.161,14.943,13.838,12.644,0.218,1.105,4
15.55,15.328,14.03,12.489,0.222,1.298,3
14.923,14.694,13.276,11.318,0.229,1.418,4
13.443,13.214,11.756,99.999,0.229,1.458,0
14.444,14.198,12.706,99.999,0.246,1.492,1
16.589,16.338,15.156,13.783,0.251,1.182,3
15.545,15.292,14.072,12.574,0.253,1.22,0
14.473,14.22,12.993,99.999,0.253,1.227,2
16.148,15.893,14.562,13.187,0.255,1.331,3
15.369,15.113,14.097,12.781,0.256,1.016,4
16.497,16.236,14.843,13.428,0.261,1.393,3
15.936,15.672,14.327,12.311,0.264,1.345,3
15.816,15.552,14.137,12.697,0.264,1.415,3
15.916,15.651,14.4,12.554,0.265,1.251,4
14.003,13.734,12.436,99.999,0.269,1.298,1
14.653,14.384,13.256,99.999,0.269,1.128,1
15.861,15.587,14.965,13.547,0.274,0.622,4
15.459,15.183,13.925,11.478,0.276,1.258,3
15.583,15.297,13.721,99.999,0.286,1.576,3
15.977,15.689,14.408,12.952,0.288,1.281,3
16.37,16.077,15.247,13.674,0.293,0.83,0
16.538,16.244,15.047,13.706,0.294,1.197,4
15.712,15.417,14.023,12.439,0.295,1.394,2
15.26,14.965,13.46,99.999,0.295,1.505,3
14.433,14.134,12.936,10.786,0.299,1.198,3
16.306,16.004,14.766,13.768,0.302,1.238,0
15.109,14.804,13.352,11.658,0.305,1.452,1
15.984,15.675,14.228,12.125,0.309,1.447,0
16.101,15.781,14.529,12.407,0.32,1.252,2
15.92,15.597,14.337,13.23,0.323,1.26,1
15.524,15.197,13.77,10.735,0.327,1.427,3
14.643,14.314,13.116,99.999,0.329,1.198,2
16.199,15.866,14.745,13.521,0.333,1.121,2
14.603,14.264,12.506,10.523,0.339,1.758,2
16.235,15.895,14.63,13.146,0.34,1.265,3
14.757,14.409,12.56,99.999,0.348,1.849,2
15.367,15.014,14.054,12.755,0.353,0.96,0
13.321,12.963,11.019,10.414,0.358,1.944,4
16.493,16.132,15.027,13.679,0.361,1.105,4
15.592,15.229,14.168,11.416,0.363,1.061,3
16.322,15.954,14.565,12.889,0.368,1.389,3
16.623,16.244,14.811,13.114,0.379,1.433,3
16.99,16.604,15.124,13.43,0.386,1.48,4
15.943,15.549,14.03,12.364,0.394,1.519,3
15.852,15.457,13.968,12.276,0.395,1.489,3
15.713,15.317,13.709,11.742,0.396,1.608,2
16.312,15.911,14.613,12.891,0.401,1.298,3
16.648,16.244,15.066,13.819,0.404,1.178,4
16.467,16.061,14.985,13.697,0.406,1.076,3
15.273,14.864,13.296,11.378,0.409,1.568,4
15.988,15.577,14.324,12.372,0.411,1.253,4
17.108,16.696,15.341,13.709,0.412,1.355,4
16.58,16.164,14.69,13.508,0.416,1.474,4
16.164,15.748,14.847,13.256,0.416,0.901,0
16.88,16.463,15.084,13.674,0.417,1.379,3
14.793,14.374,13.136,10.666,0.419,1.238,0
16.311,15.886,14.563,12.935,0.425,1.323,3
16.39,15.962,14.606,13.188,0.428,1.356,3
16.06,15.63,14.292,12.976,0.43,1.338,3
17.253,16.823,14.133,14.211,0.43,2.69,0
15.672,15.235,13.876,99.999,0.437,1.359,3
17.109,16.669,15.225,13.816,0.44,1.444,4
16.222,15.779,14.507,13.417,0.443,1.272,2
15.806,15.361,13.936,12.333,0.445,1.425,0
16.524,16.079,14.507,13.016,0.445,1.572,0
