Umag,Bmag,Vmag,Imag,U-B,B-V,UV
16.059,14.965,13.4,99.999,1.094,1.565,3
19.587,18.492,17.028,14.262,1.095,1.464,0
17.599,16.501,15.226,13.522,1.098,1.275,4
19.252,18.152,16.496,14.031,1.1,1.656,3
16.773,15.671,14.142,12.394,1.102,1.529,3
17.211,16.108,14.695,13.238,1.103,1.413,3
17.316,16.208,14.746,13.236,1.108,1.462,3
17.312,16.202,14.546,12.84,1.11,1.656,4
17.86,16.75,15.121,13.742,1.11,1.629,0
16.314,15.202,13.476,12.599,1.112,1.726,4
17.476,16.36,14.915,13.062,1.116,1.445,4
17.667,16.551,15.12,13.809,1.116,1.431,4
17.261,16.143,14.531,12.376,1.118,1.612,4
17.839,16.721,15.281,13.75,1.118,1.44,4
16.81,15.691,14.263,12.903,1.119,1.428,4
16.737,15.616,13.333,99.999,1.121,2.283,4
17.404,16.282,14.743,13.154,1.122,1.539,4
17.413,16.291,14.725,13.285,1.122,1.566,4
17.449,16.326,14.793,13.204,1.123,1.533,4
16.864,15.738,14.246,12.84,1.126,1.492,4
15.93,14.803,12.952,11.531,1.127,1.851,4
20.384,19.257,17.426,14.136,1.127,1.831,0
17.35,16.223,14.827,13.599,1.127,1.396,4
17.659,16.531,15.145,13.68,1.128,1.386,0
17.906,16.778,15.282,13.803,1.128,1.496,0
19.514,18.386,16.737,13.926,1.128,1.649,0
15.893,14.764,13.076,11.162,1.129,1.688,4
16.263,15.134,13.536,99.999,1.129,1.598,4
17.618,16.488,15.175,13.814,1.13,1.313,4
17.303,16.171,14.54,12.717,1.132,1.631,0
16.362,15.226,13.6,12.063,1.136,1.626,2
17.101,15.965,14.338,12.781,1.136,1.627,4
16.702,15.565,13.828,11.971,1.137,1.737,1
16.946,15.806,14.328,12.6,1.14,1.478,4
17.512,16.369,18.152,13.531,1.143,-1.783,4
16.932,15.782,14.3,11.658,1.15,1.482,4
17.234,16.082,14.99,13.528,1.152,1.092,4
17.35,16.197,14.667,12.923,1.153,1.53,4
17.123,15.968,14.019,99.999,1.155,1.949,0
17.357,16.201,14.82,13.432,1.156,1.381,4
17.511,16.353,15.045,13.631,1.158,1.308,4
16.443,15.285,13.619,11.819,1.158,1.666,3
17.361,16.202,14.907,13.405,1.159,1.295,4
17.808,16.648,15.177,14.009,1.16,1.471,0
16.529,15.367,13.545,11.539,1.162,1.822,4
17.687,16.523,14.993,13.025,1.164,1.53,0
17.582,16.415,14.798,13.486,1.167,1.617,2
17.746,16.578,14.896,12.889,1.168,1.682,4
17.637,16.469,14.988,13.743,1.168,1.481,4
16.994,15.824,14.109,11.842,1.17,1.715,4
17.968,16.798,15.379,13.904,1.17,1.419,0
17.274,16.103,14.347,12.632,1.171,1.756,4
17.97,16.798,15.26,13.693,1.172,1.538,4
17.819,16.646,15.131,13.853,1.173,1.515,4
17.567,16.394,15.253,13.751,1.173,1.141,2
17.989,16.815,15.286,13.718,1.174,1.529,4
17.853,16.679,15.125,13.768,1.174,1.554,3
17.444,16.268,14.593,12.738,1.176,1.675,0
17.679,16.503,15.158,13.77,1.176,1.345,4
21.649,20.473,20.005,14.937,1.176,0.468,4
17.803,16.626,14.84,13.413,1.177,1.786,3
17.259,16.078,14.649,12.954,1.181,1.429,4
18.02,16.839,15.387,13.865,1.181,1.452,0
16.949,15.767,14.181,12.234,1.182,1.586,0
18.073,16.891,14.984,13.533,1.182,1.907,4
17.434,16.251,14.935,13.667,1.183,1.316,0
17.286,16.1,14.652,13.048,1.186,1.448,0
17.463,16.276,15.093,13.691,1.187,1.183,4
17.229,16.041,14.486,13.039,1.188,1.555,4
16.323,15.134,13.376,11.166,1.189,1.758,0
17.575,16.385,14.789,13.659,1.19,1.596,4
17.306,16.116,14.456,12.542,1.19,1.66,4
16.959,15.768,14.069,12.514,1.191,1.699,4
17.593,16.402,14.994,13.752,1.191,1.408,4
17.429,16.235,14.697,13.305,1.194,1.538,0
17.408,16.213,14.66,13.114,1.195,1.553,4
17.667,16.47,14.963,13.475,1.197,1.507,2
17.735,16.536,14.913,13.533,1.199,1.623,4
17.251,16.05,14.774,13.191,1.201,1.276,4
17.371,16.169,14.79,13.574,1.202,1.379,4
17.826,16.624,15.24,13.704,1.202,1.384,4
17.094,15.89,14.135,10.647,1.204,1.755,4
17.097,15.893,14.258,11.522,1.204,1.635,0
17.258,16.054,14.521,13.078,1.204,1.533,3
17.164,15.959,14.479,12.944,1.205,1.48,0
17.298,16.092,14.44,12.746,1.206,1.652,4
17.643,16.435,14.936,13.533,1.208,1.499,0
17.499,16.29,14.776,13.428,1.209,1.514,4
15.723,14.514,12.766,99.999,1.209,1.748,4
17.228,16.015,14.416,12.774,1.213,1.599,0
17.26,16.047,14.546,12.901,1.213,1.501,4
17.903,16.689,15.209,13.798,1.214,1.48,4
17.845,16.631,15.171,13.804,1.214,1.46,0
18.176,16.962,15.538,14.003,1.214,1.424,0
16.809,15.594,13.969,12.258,1.215,1.625,4
15.958,14.74,12.903,11.069,1.218,1.837,3
16.493,15.274,13.566,11.281,1.219,1.708,3
16.433,15.214,13.536,99.999,1.219,1.678,4
17.233,16.013,14.59,13.185,1.22,1.423,4
18.01,16.79,15.32,13.831,1.22,1.47,0
17.807,16.584,15.006,13.42,1.223,1.578,0
17.522,16.299,14.924,13.566,1.223,1.375,4
17.421,16.195,14.382,11.942,1.226,1.813,0
17.023,15.797,13.95,99.999,1.226,1.847,4
17.368,16.141,14.707,13.028,1.227,1.434,4
17.471,16.244,14.771,13.174,1.227,1.473,4
17.657,16.43,14.804,13.588,1.227,1.626,0
16.73,15.5,13.451,99.999,1.23,2.049,4
17.663,16.432,14.682,12.656,1.231,1.75,4
17.553,16.322,14.719,13.201,1.231,1.603,4
17.964,16.732,15.202,13.747,1.232,1.53,4
17.998,16.764,15.273,13.761,1.234,1.491,0
15.61,14.374,13.216,99.999,1.236,1.158,0
17.519,16.282,14.79,13.216,1.237,1.492,0
17.629,16.392,14.812,13.404,1.237,1.58,4
17.168,15.93,14.472,12.854,1.238,1.458,4
17.954,16.716,15.37,13.674,1.238,1.346,0
17.143,15.904,14.3,12.615,1.239,1.604,4
17.014,15.773,14.152,13.55,1.241,1.621,1
17.874,16.631,15.166,13.751,1.243,1.465,4
17.744,16.501,15.116,13.864,1.243,1.385,0
17.62,16.377,15.051,13.087,1.243,1.326,4
17.471,16.225,14.814,13.389,1.246,1.411,4
17.524,16.278,14.982,13.613,1.246,1.296,4
15.221,13.974,13.396,11.97,1.247,0.578,4
18.031,16.783,15.3,13.905,1.248,1.483,4
17.677,16.429,14.871,13.61,1.248,1.558,4
16.393,15.144,13.416,11.493,1.249,1.728,4
16.733,15.483,13.819,11.026,1.25,1.664,4
17.7,16.45,15.051,13.711,1.25,1.399,4
17.4,16.149,14.465,12.617,1.251,1.684,4
18.272,17.021,15.588,13.564,1.251,1.433,4
17.449,16.198,14.732,13.038,1.251,1.466,0
17.448,16.193,14.806,13.428,1.255,1.387,4
17.159,15.903,14.434,13.004,1.256,1.469,0
16.828,15.571,14.058,12.777,1.257,1.513,4
15.672,14.415,11.617,99.999,1.257,2.798,4
16.903,15.645,14.079,12.625,1.258,1.566,4
17.598,16.34,14.754,13.659,1.258,1.586,4
17.506,16.248,14.909,13.673,1.258,1.339,4
17.418,16.16,14.338,99.999,1.258,1.822,4
17.708,16.449,15.084,13.784,1.259,1.365,4
17.325,16.066,14.347,12.901,1.259,1.719,4
18.089,16.829,15.345,13.904,1.26,1.484,4
16.869,15.609,13.772,11.487,1.26,1.837,3
17.796,16.535,15.059,13.547,1.261,1.476,4
17.496,16.235,14.839,13.562,1.261,1.396,4
17.865,16.604,15.109,13.722,1.261,1.495,4
17.35,16.089,14.474,12.775,1.261,1.615,4
17.153,15.891,14.574,13.173,1.262,1.317,4
16.89,15.628,13.974,12.358,1.262,1.654,3
16.888,15.626,14.089,12.472,1.262,1.537,4
17.552,16.287,14.784,13.225,1.265,1.503,2
17.357,16.091,14.747,13.322,1.266,1.344,4
17.705,16.438,14.921,13.385,1.267,1.517,0
17.071,15.804,14.262,11.943,1.267,1.542,3
17.851,16.582,14.915,13.366,1.269,1.667,4
17.714,16.445,14.854,13.68,1.269,1.591,4
16.212,14.942,13.008,11.105,1.27,1.934,4
17.624,16.354,14.868,13.367,1.27,1.486,4
17.661,16.391,14.822,13.808,1.27,1.569,0
17.633,16.362,14.698,13.275,1.271,1.664,4
17.747,16.476,15.074,13.826,1.271,1.402,0
17.811,16.539,15.111,13.587,1.272,1.428,0
17.595,16.322,14.894,13.513,1.273,1.428,4
17.833,16.558,15.114,13.721,1.275,1.444,0
16.849,15.574,14.047,12.53,1.275,1.527,1
17.558,16.28,14.743,13.416,1.278,1.537,4
16.683,15.404,13.446,10.662,1.279,1.958,4
16.593,15.314,13.466,11.446,1.279,1.848,0
17.064,15.785,14.224,12.472,1.279,1.561,0
17.619,16.338,14.654,13.167,1.281,1.684,0
17.668,16.387,14.955,13.624,1.281,1.432,4
17.079,15.797,14.256,12.914,1.282,1.541,1
18.223,16.941,15.399,13.921,1.282,1.542,0
17.884,16.601,15.187,13.645,1.283,1.414,4
17.875,16.591,15.137,13.777,1.284,1.454,4
17.6,16.316,14.921,13.618,1.284,1.395,0
18.92,17.635,16.126,14.123,1.285,1.509,0
17.843,16.556,15.16,13.719,1.287,1.396,0
18.064,16.777,15.183,13.876,1.287,1.594,4
17.346,16.058,14.447,11.759,1.288,1.611,0
17.725,16.434,14.921,13.294,1.291,1.513,0
17.563,16.272,14.884,13.453,1.291,1.388,4
17.723,16.431,14.874,13.432,1.292,1.557,0
17.548,16.255,15.167,13.852,1.293,1.088,0
17.959,16.665,15.136,13.722,1.294,1.529,4
18.425,17.131,15.629,14.075,1.294,1.502,4
18.006,16.711,15.317,13.912,1.295,1.394,3
17.66,16.364,14.426,10.449,1.296,1.938,4
17.04,15.744,13.994,11.528,1.296,1.75,4
18.063,16.767,15.205,13.556,1.296,1.562,0
17.916,16.62,15.066,13.722,1.296,1.554,4
18.149,16.853,15.323,13.918,1.296,1.53,0
17.239,15.943,14.235,12.573,1.296,1.708,1
17.467,16.17,14.79,13.459,1.297,1.38,4
16.906,15.609,14.015,12.542,1.297,1.594,4
18.392,17.095,15.48,13.984,1.297,1.615,4
17.851,16.553,14.882,13.478,1.298,1.671,4
16.503,15.204,13.336,10.912,1.299,1.868,4
19.227,17.928,15.882,13.633,1.299,2.046,0
17.993,16.694,15.189,13.78,1.299,1.505,4
17.59,16.289,14.868,13.41,1.301,1.421,0
17.362,16.06,14.577,13.24,1.302,1.483,4
17.652,16.348,14.857,13.656,1.304,1.491,4
17.543,16.238,14.609,13.067,1.305,1.629,4
17.472,16.167,14.782,13.516,1.305,1.385,4
17.626,16.316,14.871,13.516,1.31,1.445,0
16.379,15.068,13.464,99.999,1.311,1.604,4
17.225,15.913,14.243,12.35,1.312,1.67,4
17.265,15.952,14.407,12.929,1.313,1.545,0
17.882,16.569,15.155,13.628,1.313,1.414,4
16.49,15.176,13.512,11.776,1.314,1.664,3
17.47,16.155,14.644,13.123,1.315,1.511,0
18.593,17.276,15.568,13.927,1.317,1.708,0
16.53,15.213,13.534,99.999,1.317,1.679,4
17.799,16.481,15.041,13.411,1.318,1.44,4
17.613,16.295,14.907,13.547,1.318,1.388,4
16.253,14.934,13.076,11.018,1.319,1.858,0
16.533,15.214,13.436,11.261,1.319,1.778,4
18.08,16.759,15.163,13.535,1.321,1.596,4
18.561,17.24,15.746,14.032,1.321,1.494,0
16.174,14.852,13.277,10.171,1.322,1.575,0
17.809,16.487,14.801,13.219,1.322,1.686,4
17.674,16.351,15.16,13.743,1.323,1.191,4
17.04,15.715,14.483,12.749,1.325,1.232,3
17.761,16.435,14.879,13.343,1.326,1.556,2
18.017,16.691,15.205,13.732,1.326,1.486,4
17.688,16.361,15.029,13.692,1.327,1.332,0
17.824,16.496,15.028,13.513,1.328,1.468,4
16.623,15.294,13.646,11.978,1.329,1.648,4
17.332,16.003,14.487,13.439,1.329,1.516,0
17.818,16.489,15.007,13.667,1.329,1.482,4
18.125,16.796,15.33,13.898,1.329,1.466,0
17.534,16.204,14.783,13.493,1.33,1.421,4
17.935,16.603,15.1,13.769,1.332,1.503,4
16.962,15.63,13.81,99.999,1.332,1.82,4
17.629,16.297,14.874,13.24,1.332,1.423,0
17.529,16.197,14.773,13.458,1.332,1.424,4
18.342,17.008,15.446,13.934,1.334,1.562,4
17.685,16.348,14.96,13.616,1.337,1.388,4
17.706,16.369,14.983,13.669,1.337,1.386,4
17.245,15.908,14.482,12.326,1.337,1.426,4
17.537,16.199,14.677,12.77,1.338,1.522,4
17.772,16.434,14.906,13.292,1.338,1.528,4
19.794,18.456,16.622,13.808,1.338,1.834,4
18.228,16.89,15.466,13.959,1.338,1.424,0
17.921,16.582,15.131,13.79,1.339,1.451,4
17.094,15.754,14.196,99.999,1.34,1.558,4
18.082,16.741,15.142,13.785,1.341,1.599,0
17.861,16.52,15.294,13.953,1.341,1.226,4
17.446,16.105,14.584,99.999,1.341,1.521,4
17.718,16.376,14.824,13.446,1.342,1.552,4
17.806,16.464,14.883,13.576,1.342,1.581,4
17.985,16.64,15.175,13.831,1.345,1.465,4
17.374,16.028,14.393,12.845,1.346,1.635,4
17.707,16.361,14.795,13.278,1.346,1.566,4
16.632,15.286,13.575,99.999,1.346,1.711,0
16.43,15.083,13.149,10.518,1.347,1.934,4
17.381,16.033,14.535,13.044,1.348,1.498,4
18.029,16.681,15.061,13.36,1.348,1.62,4
17.519,16.17,14.785,13.216,1.349,1.385,4
17.685,16.336,14.963,13.67,1.349,1.373,4
17.535,16.185,14.74,13.386,1.35,1.445,4
18.01,16.66,15.156,13.591,1.35,1.504,4
17.532,16.181,14.535,13.071,1.351,1.646,0
17.409,16.058,14.502,13.12,1.351,1.556,4
19.393,18.042,16.433,13.361,1.351,1.609,4
17.857,16.504,15.17,13.838,1.353,1.334,0
17.978,16.625,15.232,13.827,1.353,1.393,0
16.686,15.332,13.566,9.821,1.354,1.766,0
17.361,16.007,14.178,12.084,1.354,1.829,0
17.645,16.291,14.785,13.414,1.354,1.506,3
17.839,16.485,14.824,13.537,1.354,1.661,4
17.806,16.451,15.049,13.864,1.355,1.402,4
17.573,16.216,14.674,13.181,1.357,1.542,0
18.392,17.035,15.6,14.102,1.357,1.435,4
18.885,17.528,15.312,13.833,1.357,2.216,0
17.859,16.502,15.07,13.943,1.357,1.432,0
17.281,15.922,14.462,12.899,1.359,1.46,4
17.468,16.109,14.741,13.156,1.359,1.368,4
17.987,16.628,15.212,13.86,1.359,1.416,4
17.885,16.526,15.003,13.402,1.359,1.523,0
17.823,16.463,15.037,13.714,1.36,1.426,4
17.389,16.028,14.431,12.919,1.361,1.597,4
17.662,16.299,14.265,12.463,1.363,2.034,4
17.569,16.206,14.75,13.737,1.363,1.456,4
17.038,15.673,14.139,12.54,1.365,1.534,4
17.189,15.824,14.323,12.923,1.365,1.501,0
17.241,15.875,14.223,11.36,1.366,1.652,4
16.241,14.874,13.122,11.136,1.367,1.752,1
17.151,15.784,14.145,12.55,1.367,1.639,4
16.805,15.438,13.681,99.999,1.367,1.757,3
18.834,17.467,15.826,14.176,1.367,1.641,4
17.832,16.464,15.007,13.538,1.368,1.457,0
16.233,14.864,13.066,11.002,1.369,1.798,4
17.654,16.285,14.785,13.317,1.369,1.5,4
17.964,16.595,15.096,13.824,1.369,1.499,0
16.533,15.164,13.476,99.999,1.369,1.688,4
17.839,16.469,15.002,13.622,1.37,1.467,4
17.545,16.175,14.733,13.431,1.37,1.442,0
17.756,16.386,14.993,13.627,1.37,1.393,0
17.791,16.421,15.021,13.781,1.37,1.4,0
17.941,16.57,15.04,13.806,1.371,1.53,0
17.426,16.054,14.644,13.591,1.372,1.41,4
17.783,16.411,14.99,13.595,1.372,1.421,0
18.013,16.641,15.189,13.745,1.372,1.452,0
17.836,16.463,15.059,13.68,1.373,1.404,4
15.988,14.615,12.484,10.84,1.373,2.131,3
17.712,16.339,14.861,13.283,1.373,1.478,1
17.85,16.477,14.85,13.316,1.373,1.627,0
17.651,16.277,14.901,13.481,1.374,1.376,0
17.283,15.909,14.362,12.968,1.374,1.547,0
17.671,16.295,14.807,13.251,1.376,1.488,4
17.287,15.911,14.332,12.921,1.376,1.579,4
16.459,15.081,13.501,12.445,1.378,1.58,0
17.806,16.428,14.951,13.273,1.378,1.477,4
17.99,16.612,14.987,13.405,1.378,1.625,4
17.779,16.401,14.993,13.587,1.378,1.408,0
17.849,16.471,14.959,13.623,1.378,1.512,0
18.583,17.205,15.604,13.941,1.378,1.601,4
16.523,15.144,13.286,99.999,1.379,1.858,3
16.373,14.994,13.406,10.04,1.379,1.588,4
18.039,16.66,15.25,13.274,1.379,1.41,4
17.631,16.25,14.813,13.356,1.381,1.437,4
17.602,16.221,14.836,13.468,1.381,1.385,0
17.604,16.222,14.72,13.304,1.382,1.502,0
16.529,15.147,13.331,99.999,1.382,1.816,1
17.274,15.892,14.403,12.997,1.382,1.489,4
17.526,16.144,14.595,13.087,1.382,1.549,4
17.764,16.381,14.9,13.416,1.383,1.481,4
17.252,15.867,14.171,12.571,1.385,1.696,0
17.915,16.53,14.85,13.365,1.385,1.68,4
16.962,15.577,13.852,10.033,1.385,1.725,4
17.261,15.874,14.516,13.076,1.387,1.358,2
18.026,16.639,14.908,13.426,1.387,1.731,0
19.208,17.82,16.266,13.809,1.388,1.554,4
16.433,15.044,13.156,99.999,1.389,1.888,4
16.533,15.144,13.556,10.327,1.389,1.588,4
17.804,16.414,15.067,13.704,1.39,1.347,0
17.753,16.363,14.913,13.608,1.39,1.45,4
18.284,16.894,15.355,13.893,1.39,1.539,4
18.018,16.627,15.078,13.691,1.391,1.549,4
18.006,16.615,15.16,13.77,1.391,1.455,0
18.245,16.854,15.323,13.954,1.391,1.531,0
17.615,16.223,14.715,13.188,1.392,1.508,4
17.737,16.345,14.778,13.349,1.392,1.567,4
18.069,16.677,15.199,13.807,1.392,1.478,4
17.379,15.987,14.493,13.081,1.392,1.494,4
16.66,15.267,13.725,99.999,1.393,1.542,4
17.42,16.026,14.493,12.947,1.394,1.533,4
18.309,16.915,15.406,13.992,1.394,1.509,0
17.453,16.058,14.623,12.968,1.395,1.435,3
18.004,16.609,15.224,13.67,1.395,1.385,0
20.348,18.953,17.168,13.721,1.395,1.785,4
17.967,16.571,15.045,13.509,1.396,1.526,4
17.911,16.515,15.184,13.739,1.396,1.331,4
18.41,17.014,15.424,14.282,1.396,1.59,4
17.364,15.967,14.372,12.728,1.397,1.595,4
17.359,15.962,14.319,12.615,1.397,1.643,0
17.795,16.398,14.941,13.511,1.397,1.457,0
16.266,14.868,13.268,11.748,1.398,1.6,3
17.656,16.258,14.972,13.678,1.398,1.286,4
16.543,15.144,13.346,11.412,1.399,1.798,4
17.773,16.373,14.855,13.397,1.4,1.518,0
17.63,16.23,14.703,13.568,1.4,1.527,2
18.037,16.637,15.281,16.523,1.4,1.356,4
16.773,15.373,13.699,11.92,1.4,1.674,4
17.5,16.099,14.721,13.432,1.401,1.378,4
18.163,16.762,15.318,13.888,1.401,1.444,4
16.925,15.524,13.296,10.824,1.401,2.228,4
17.829,16.427,14.826,13.435,1.402,1.601,0
18.017,16.615,15.183,13.671,1.402,1.432,0
18.294,16.892,15.364,13.943,1.402,1.528,0
17.322,15.919,14.353,11.911,1.403,1.566,4
17.494,16.091,14.615,13.439,1.403,1.476,4
17.7,16.297,14.888,13.625,1.403,1.409,4
17.129,15.726,14.289,12.21,1.403,1.437,0
17.521,16.118,14.755,13.386,1.403,1.363,4
17.566,16.16,14.592,13.209,1.406,1.568,0
17.983,16.577,15.241,13.835,1.406,1.336,4
17.627,16.22,14.81,13.43,1.407,1.41,4
18.003,16.596,15.191,13.753,1.407,1.405,4
17.086,15.678,14.062,12.532,1.408,1.616,4
17.915,16.507,15.048,13.558,1.408,1.459,4
17.436,16.028,14.526,13.091,1.408,1.502,0
17.633,16.224,14.715,13.104,1.409,1.509,0
16.79,15.381,13.538,99.999,1.409,1.843,4
17.833,16.423,14.986,13.569,1.41,1.437,4
17.713,16.302,14.9,13.55,1.411,1.402,0
17.678,16.267,14.705,13.776,1.411,1.562,4
17.03,15.618,13.773,12.014,1.412,1.845,4
17.696,16.284,14.572,13.187,1.412,1.712,3
17.71,16.298,14.861,13.455,1.412,1.437,0
18.012,16.599,15.038,13.286,1.413,1.561,4
18.23,16.817,15.248,13.876,1.413,1.569,4
16.962,15.548,13.94,99.999,1.414,1.608,0
17.687,16.273,14.707,13.08,1.414,1.566,4
17.804,16.388,14.936,13.412,1.416,1.452,1
17.383,15.967,14.293,12.636,1.416,1.674,4
17.909,16.493,14.69,12.339,1.416,1.803,4
18.386,16.969,15.518,14.076,1.417,1.451,4
17.882,16.465,14.971,13.661,1.417,1.494,4
18.361,16.944,15.443,13.754,1.417,1.501,4
17.527,16.109,14.592,13.093,1.418,1.517,4
17.892,16.474,15.138,13.82,1.418,1.336,4
17.974,16.556,15.204,13.887,1.418,1.352,4
18.77,17.352,15.668,13.963,1.418,1.684,4
18.155,16.737,15.124,13.578,1.418,1.613,4
17.966,16.548,15.049,13.657,1.418,1.499,4
16.613,15.194,13.446,11.606,1.419,1.748,4
17.855,16.436,15.219,13.798,1.419,1.217,0
17.974,16.555,15.198,13.828,1.419,1.357,4
17.094,15.674,14.161,12.392,1.42,1.513,0
18.27,16.849,15.178,13.752,1.421,1.671,4
18.067,16.646,15.179,13.797,1.421,1.467,4
17.888,16.467,14.978,13.479,1.421,1.489,4
17.049,15.627,14.009,12.242,1.422,1.618,4
17.61,16.188,14.755,12.842,1.422,1.433,4
17.883,16.461,14.843,13.388,1.422,1.618,4
17.784,16.362,14.893,13.44,1.422,1.469,4
17.878,16.456,15.002,13.631,1.422,1.454,4
18.052,16.63,15.2,13.792,1.422,1.43,4
17.583,16.16,14.568,12.337,1.423,1.592,4
16.864,15.441,14.076,12.795,1.423,1.365,4
18.448,17.025,15.504,13.948,1.423,1.521,4
17.881,16.458,15.135,99.999,1.423,1.323,4
17.934,16.51,14.873,13.328,1.424,1.637,4
17.725,16.3,14.665,13.052,1.425,1.635,4
17.753,16.328,14.828,13.165,1.425,1.5,4
18.072,16.647,15.025,13.592,1.425,1.622,4
17.994,16.569,15.112,13.847,1.425,1.457,4
19.829,18.404,16.608,14.306,1.425,1.796,0
18.421,16.995,15.489,14.209,1.426,1.506,4
17.98,16.554,15.081,13.637,1.426,1.473,0
17.622,16.195,14.526,12.92,1.427,1.669,0
17.97,16.543,15.024,13.467,1.427,1.519,4
18.048,16.62,15.217,13.845,1.428,1.403,4
17.384,15.956,14.386,12.76,1.428,1.57,2
17.872,16.444,14.835,13.205,1.428,1.609,4
17.617,16.189,15.075,13.571,1.428,1.114,4
18.292,16.864,15.29,13.81,1.428,1.574,3
17.74,16.311,14.771,13.268,1.429,1.54,4
17.866,16.437,15.051,13.702,1.429,1.386,4
18.303,16.873,15.276,13.767,1.43,1.597,0
17.639,16.208,14.607,13.034,1.431,1.601,4
17.729,16.298,14.841,13.527,1.431,1.457,4
17.548,16.116,14.729,13.205,1.432,1.387,4
17.419,15.987,14.494,12.518,1.432,1.493,0
17.146,15.714,14.215,12.692,1.432,1.499,4
18.358,16.926,15.436,14.104,1.432,1.49,4
16.702,15.269,14.202,12.919,1.433,1.067,1
18.784,17.35,15.92,13.738,1.434,1.43,4
18.464,17.03,15.406,13.891,1.434,1.624,4
17.292,15.858,14.149,11.999,1.434,1.709,0
17.844,16.41,14.725,99.999,1.434,1.685,2
18.111,16.676,15.259,13.836,1.435,1.417,0
18.547,17.112,15.613,14.094,1.435,1.499,3
17.397,15.961,14.383,12.802,1.436,1.578,0
17.435,15.999,14.412,12.844,1.436,1.587,4
18.431,16.995,15.446,13.968,1.436,1.549,0
17.685,16.248,14.73,13.279,1.437,1.518,0
18.052,16.615,15.099,13.582,1.437,1.516,4
17.956,16.518,15.526,13.7,1.438,0.992,4
17.096,15.658,14.008,12.038,1.438,1.65,2
17.841,16.403,14.874,13.403,1.438,1.529,4
17.841,16.403,14.973,99.999,1.438,1.43,4
16.553,15.114,13.306,10.623,1.439,1.808,4
17.842,16.403,14.487,12.62,1.439,1.916,4
17.772,16.333,14.85,13.513,1.439,1.483,4
18.407,16.968,15.347,13.895,1.439,1.621,4
17.506,16.066,14.358,12.891,1.44,1.708,0
18.129,16.689,15.113,13.741,1.44,1.576,4
17.061,15.62,13.879,10.624,1.441,1.741,4
17.494,16.052,14.589,13.019,1.442,1.463,4
18.034,16.592,15.044,13.183,1.442,1.548,0
17.575,16.132,14.514,12.835,1.443,1.618,4
16.985,15.542,14.014,99.999,1.443,1.528,4
17.534,16.09,14.403,11.84,1.444,1.687,4
17.506,16.062,14.668,13.024,1.444,1.394,2
17.807,16.363,14.861,13.327,1.444,1.502,4
17.673,16.228,14.51,12.411,1.445,1.718,4
17.417,15.971,14.498,12.97,1.446,1.473,0
17.599,16.153,14.532,99.999,1.446,1.621,0
17.203,15.756,14.227,12.682,1.447,1.529,0
18.061,16.614,15.154,13.766,1.447,1.46,4
18.064,16.617,15.186,13.771,1.447,1.431,4
17.413,15.965,14.551,13.144,1.448,1.414,0
18.168,16.72,15.179,13.717,1.448,1.541,0
16.723,15.274,13.556,9.706,1.449,1.718,4
18.022,16.572,15.131,13.706,1.45,1.441,4
18.004,16.554,15.132,13.642,1.45,1.422,0
17.923,16.472,14.969,13.607,1.451,1.503,4
17.244,15.793,14.392,13.002,1.451,1.401,4
17.959,16.508,14.848,13.247,1.451,1.66,0
17.771,16.32,14.847,13.713,1.451,1.473,1
17.992,16.541,15.142,13.772,1.451,1.399,4
17.741,16.289,14.827,13.398,1.452,1.462,4
17.14,15.688,14.163,11.818,1.452,1.525,3
17.34,15.888,14.336,12.3,1.452,1.552,4
17.701,16.249,14.84,13.526,1.452,1.409,0
17.173,15.719,14.014,12.396,1.454,1.705,4
16.762,15.308,13.69,12.046,1.454,1.618,4
17.736,16.282,14.926,13.645,1.454,1.356,4
17.641,16.186,14.152,11.543,1.455,2.034,4
16.618,15.163,13.559,12.006,1.455,1.604,3
17.122,15.666,14.215,12.479,1.456,1.451,0
17.589,16.133,14.582,13.132,1.456,1.551,0
17.785,16.329,14.976,13.671,1.456,1.353,4
18.082,16.626,15.267,17.892,1.456,1.359,4
17.763,16.307,14.966,13.638,1.456,1.341,4
18.305,16.847,15.059,13.407,1.458,1.788,4
17.125,15.666,14,10.811,1.459,1.666,0
16.791,15.332,13.685,11.63,1.459,1.647,4
16.813,15.354,13.596,11.802,1.459,1.758,4
17.129,15.67,14.136,12.358,1.459,1.534,0
18.116,16.656,15.021,13.542,1.46,1.635,4
18.498,17.038,15.433,13.984,1.46,1.605,4
17.95,16.489,15.016,13.534,1.461,1.473,4
19.129,17.668,15.884,14.044,1.461,1.784,3
18.224,16.762,15.309,13.826,1.462,1.453,4
17.451,15.988,14.7,13.519,1.463,1.288,4
17.986,16.523,14.994,13.597,1.463,1.529,4
17.864,16.401,14.977,13.65,1.463,1.424,4
17.82,16.356,14.717,13.226,1.464,1.639,0
17.865,16.401,15.115,13.409,1.464,1.286,4
17.8,16.336,14.821,13.391,1.464,1.515,4
17.593,16.128,14.569,13.03,1.465,1.559,2
18.01,16.545,15.005,13.381,1.465,1.54,4
17.719,16.254,14.837,13.54,1.465,1.417,4
18.254,16.789,15.194,13.709,1.465,1.595,0
18.24,16.775,15.258,13.876,1.465,1.517,4
17.231,15.766,13.937,11.964,1.465,1.829,3
17.864,16.398,15.031,13.691,1.466,1.367,4
17.771,16.304,14.763,13.394,1.467,1.541,4
17.876,16.409,14.97,13.481,1.467,1.439,4
17.632,16.164,14.568,12.972,1.468,1.596,4
